,jnd_sender_id,is_answered,question_rank,time_from_start,sum_answer,num_quick_replies,hour,day_of_week,nbr_response_code_replaced_color_question,nbr_response_code_replaced_fabric_question,nbr_response_code_replaced_fit_question,nbr_response_code_replaced_neckline_question,nbr_response_code_replaced_sleeve style_question,nbr_response_code_replaced_style_question,last_nbr_code_replaced_children_types_question,last_nbr_code_replaced_color_question,last_nbr_code_replaced_consumer_mismatch,last_nbr_code_replaced_customer_care_url,last_nbr_code_replaced_fabric_question,last_nbr_code_replaced_fit_question,last_nbr_code_replaced_no_products_for_type,last_nbr_code_replaced_offer_other_products_for_type,last_nbr_code_replaced_offer_other_products_for_type_parent,last_nbr_code_replaced_other,last_nbr_code_replaced_product_type_selection,last_nbr_code_replaced_shopping_open_question_no_gender,last_nbr_code_replaced_sleeve style_question,last_nbr_code_replaced_subvertical_selection,last_nbr_code_replaced_subvertical_selection_second,"last_nlu_intents_list_replaced__Help, Shop Now, neutral_","last_nlu_intents_list_replaced__New Search, neutral_","last_nlu_intents_list_replaced__Not Understood, neutral_","last_nlu_intents_list_replaced__Shop Now, Indifferent_","last_nlu_intents_list_replaced__Shop Now, neutral_","last_nlu_intents_list_replaced__Shop Now, positive_","last_nlu_intents_list_replaced__neutral, Shop Now_","last_nlu_intents_list_replaced__positive, Shop Now_",last_nlu_intents_list_replaced__positive_,last_nlu_intents_list_replaced_other,last_nlu_subvertical_replaced_accessories,last_nlu_subvertical_replaced_bags,last_nlu_subvertical_replaced_clothing,last_nlu_subvertical_replaced_footwear,last_nlu_subvertical_replaced_lounge \u0026 underwear,last_nlu_subvertical_replaced_other,last_nlu_subvertical_replaced_outerwear,last_nlu_subvertical_replaced_watches,last_nlu_positive_aspects_replaced___,last_nlu_positive_aspects_replaced__body type_,last_nlu_positive_aspects_replaced__color_,last_nlu_positive_aspects_replaced__cut_,last_nlu_positive_aspects_replaced__fabric_,last_nlu_positive_aspects_replaced__fit_,last_nlu_positive_aspects_replaced__length_,last_nlu_positive_aspects_replaced__neckline_,last_nlu_positive_aspects_replaced__price_,"last_nlu_positive_aspects_replaced__size uk, size eu, size us_","last_nlu_positive_aspects_replaced__size uk, size uk, size us, size, size us, size eu, size eu_","last_nlu_positive_aspects_replaced__size uk, size uk, size, size us, size us, size eu, size eu_",last_nlu_positive_aspects_replaced__size_,last_nlu_positive_aspects_replaced__sleeve style_,last_nlu_positive_aspects_replaced__weather_,last_nlu_positive_aspects_replaced_other,last_nlu_positive_product_type_replaced_athletic shoes,last_nlu_positive_product_type_replaced_boots,last_nlu_positive_product_type_replaced_cap,last_nlu_positive_product_type_replaced_coat,last_nlu_positive_product_type_replaced_dress,last_nlu_positive_product_type_replaced_hoodie,last_nlu_positive_product_type_replaced_jacket,last_nlu_positive_product_type_replaced_jeans,last_nlu_positive_product_type_replaced_other,last_nlu_positive_product_type_replaced_pants,last_nlu_positive_product_type_replaced_shirt,last_nlu_positive_product_type_replaced_shorts,last_nlu_positive_product_type_replaced_sweater,last_nlu_positive_product_type_replaced_sweatshirt,last_nlu_positive_product_type_replaced_underwear,last_nlu_positive_product_type_replaced_vest,last_nlu_positive_product_type_replaced_watch,last_nlu_gender_replaced_female,last_nlu_gender_replaced_male,last_nlu_gender_replaced_other,last_nlu_gender_replaced_unisex,last_nlu_gender_replaced_user,last_nlu_age_group_replaced_adult,last_nlu_age_group_replaced_kids,last_nlu_age_group_replaced_other,last_nlu_age_group_replaced_user,customer_type_replaced_NULL,customer_type_replaced_New Visitor,customer_type_replaced_Returning Visitor,customer_type_replaced_other,platform_replaced_Desktop,platform_replaced_Mobile,platform_replaced_other,os_replaced_Android 6.0.1,os_replaced_Android 7.0,os_replaced_Android 7.1.1,os_replaced_Android 8.0.0,os_replaced_Android 8.1.0,os_replaced_Android 9,os_replaced_Mac OS,os_replaced_OS12_2,os_replaced_OS12_3_1,os_replaced_OS12_4,os_replaced_OS12_4_1,os_replaced_OS12_4_2,os_replaced_OS13_0,os_replaced_OS13_1,os_replaced_OS13_1_1,os_replaced_OS13_1_2,os_replaced_OS13_1_3,os_replaced_OS13_2,os_replaced_OS13_2_2,os_replaced_Windows,os_replaced_other,app_replaced_Chrome/Safari,app_replaced_Chrome/Safari/Edge,app_replaced_Chrome/Safari/OPR,app_replaced_CriOS/Safari,app_replaced_GSA/Safari,app_replaced_Safari,app_replaced_SamsungBrowser/Chrome/Safari,app_replaced_other,device_replaced_Mac,device_replaced_SM-G950U,device_replaced_SM-G955U,device_replaced_SM-G960U,device_replaced_SM-G965U,device_replaced_SM-G975U,device_replaced_SM-N950U,device_replaced_SM-N960U,device_replaced_X11,device_replaced_iPad,device_replaced_iPhone,device_replaced_other
290,x8g66fxee3j,1,4.0,13.094186067581177,1.0,10.0,22.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
291,x8g66fxee3j,1,5.0,21.09357190132141,2.0,4.0,22.0,6.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302,xthu6xx8fn,1,5.0,66.11490106582643,0.0,4.0,17.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
318,0gri4f3b6k,1,4.0,155.11318397521973,2.0,5.0,17.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
392,b5xd1nklwm,1,2.0,6.116091966629027,1.0,10.0,10.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420,dt9nk4f7dy,1,2.0,5.495042085647583,1.0,5.0,0.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
421,dt9nk4f7dy,1,3.0,8.473292112350464,2.0,4.0,0.0,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
437,gjw5h3ufk7,1,2.0,2.097104549407959,1.0,4.0,5.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
438,gjw5h3ufk7,1,3.0,7.120270013809204,2.0,4.0,5.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
447,h4qva0x0wv,1,4.0,37.387069940567024,1.0,7.0,0.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
468,jk3aq7a9mk,1,1.0,1.0911188125610352,0.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
479,k9w8blhd3uk,1,4.0,25.49376201629639,0.0,4.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
510,p8748ktia0j,1,2.0,14.763722896575928,1.0,10.0,19.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
511,p8748ktia0j,1,3.0,21.43021011352539,2.0,3.0,19.0,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
512,p8748ktia0j,1,4.0,29.398701906204227,3.0,7.0,19.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
526,pqg51f2fork,1,5.0,16.184230089187622,1.0,10.0,21.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
533,r2a4vvxurx,1,2.0,3.094322204589844,1.0,5.0,5.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
554,shrj4m2xn9,1,4.0,15.095128059387207,3.0,6.0,19.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
564,slkvi8dk7ij,1,3.0,51.12513303756714,0.0,6.0,21.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
676,732e0x0j2n,1,1.0,3.34798002243042,0.0,5.0,15.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
